"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Defective visual phototransduction due to RDH5 loss of function",2,0,NA,NA,NA,NA,NA,NA,0
"Defective visual phototransduction due to STRA6 loss of function",3,1,49,49,49,49,49,49,0.333333333333333
"Defects in biotin (Btn) metabolism",8,3,30,34,38.3333333333333,38,42.5,47,0.375
"Defects in cobalamin (B12) metabolism",14,3,5,12.5,107,20,158,296,0.214285714285714
"Defects in vitamin and cofactor metabolism",22,6,5,22.5,72.6666666666667,34,44.75,296,0.272727272727273
"Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)",16,4,16,30.25,227.5,39,236.25,816,0.25
"Defects of platelet adhesion to exposed collagen",8,1,74,74,74,74,74,74,0.125
"Defensins",53,2,13,18.5,24,24,29.5,35,0.0377358490566038
"Degradation of AXIN",42,11,4,17,34.4545454545455,24,56,65,0.261904761904762
"Degradation of CDH1",53,11,4,16,30.3636363636364,22,49,65,0.207547169811321
"Degradation of CRY and PER proteins",48,14,3,14.25,37.0714285714286,32.5,63,77,0.291666666666667
"Degradation of DVL",44,10,4,16,31.4,21,52,65,0.227272727272727
"Degradation of GABA",2,1,269,269,269,269,269,269,0.5
"Degradation of GLI1 by the proteasome",47,11,4,14.5,33.9090909090909,22,56,69,0.234042553191489
"Degradation of GLI2 by the proteasome",47,13,4,14,37,22,57,102,0.276595744680851
"Degradation of beta-catenin by the destruction complex",72,23,2,15,61.5652173913044,43,67,262,0.319444444444444
"Degradation of cysteine and homocysteine",15,3,1,6,9,11,13,15,0.2
"Degradation of the extracellular matrix",140,36,2,9.75,36.4444444444444,19.5,38,307,0.257142857142857
"Deletions in the AMER1 gene destabilize the destruction complex",1,1,4,4,4,4,4,4,1
"Deletions in the AXIN1 gene destabilize the destruction complex",1,0,NA,NA,NA,NA,NA,NA,0
"Depolymerization of the Nuclear Lamina",15,1,291,291,291,291,291,291,0.0666666666666667
"Deposition of new CENPA-containing nucleosomes at the centromere",72,29,2,10,42.7586206896552,21,79,159,0.402777777777778
"Depurination",55,22,4,10,52.9090909090909,25.5,82,183,0.4
"Depyrimidination",60,23,4,10,52.0869565217391,15,82,183,0.383333333333333
"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",22,8,3,6.5,21,11.5,18.75,85,0.363636363636364
"Detoxification of Reactive Oxygen Species",37,10,3,8.75,25,18,28.25,70,0.27027027027027
"Deubiquitination",285,93,1,10,66.8279569892473,24,63,461,0.326315789473684
"Developmental Biology",1522,423,1,11,62.8250591016548,26,66,1073,0.277923784494087
"Developmental Cell Lineages",153,35,1,6.5,51.0285714285714,22,68.5,277,0.228758169934641
"Developmental Cell Lineages of the Exocrine Pancreas",84,14,2,7.5,44.4285714285714,23.5,44.5,176,0.166666666666667
"Developmental Cell Lineages of the Integumentary System",73,23,1,6.5,52.6521739130435,18,68.5,277,0.315068493150685
"Developmental Lineage of Mammary Gland Alveolar Cells",18,2,1,33.5,66,66,98.5,131,0.111111111111111
"Developmental Lineage of Mammary Gland Luminal Epithelial Cells",24,5,1,5,42.6,36,40,131,0.208333333333333
"Developmental Lineage of Mammary Gland Myoepithelial Cells",20,6,5,21.75,44.3333333333333,34.5,39,134,0.3
"Developmental Lineage of Mammary Stem Cells",15,4,5,6.5,93.5,46,133,277,0.266666666666667
"Developmental Lineage of Multipotent Pancreatic Progenitor Cells",18,3,22,31,49.6666666666667,40,63.5,87,0.166666666666667
"Developmental Lineage of Pancreatic Acinar Cells",32,4,3,9,30.75,16.5,38.25,87,0.125
"Developmental Lineage of Pancreatic Ductal Cells",48,11,2,8,51.6363636363636,25,66.5,176,0.229166666666667
"Developmental Lineages of the Mammary Gland",40,11,1,12.5,69.7272727272727,36,108,277,0.275
"Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin",40,13,2,6,37.2307692307692,11,40,160,0.325
"Differentiation of T cells",13,4,3,6,42,29,65,107,0.307692307692308
"Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells)",13,4,3,6,42,29,65,107,0.307692307692308
"Digestion",23,3,3,5,14,7,19.5,32,0.130434782608696
"Digestion and absorption",28,4,3,6,71.25,19.5,84.75,243,0.142857142857143
"Digestion of dietary carbohydrate",11,2,3,4,5,5,6,7,0.181818181818182
"Digestion of dietary lipid",7,0,NA,NA,NA,NA,NA,NA,0
"Dimerization of procaspase-8",11,8,5,11.5,18.125,20,25.25,27,0.727272727272727
"Disassembly of the destruction complex and recruitment of AXIN to the membrane",31,12,1,5.5,56.6666666666667,18.5,57.75,262,0.387096774193548
"Disease",1926,582,1,10,66.3762886597938,25,59.5,1073,0.302180685358255
"Diseases associated with N-glycosylation of proteins",20,4,2,7.25,225.75,36,254.5,829,0.2
"Diseases associated with O-glycosylation of proteins",68,17,1,13,38.2941176470588,24,64,113,0.25
"Diseases associated with glycosaminoglycan metabolism",41,15,1,11,83.7333333333333,27,34.5,829,0.365853658536585
"Diseases associated with glycosylation precursor biosynthesis",16,7,6,6.5,48.4285714285714,9,45,221,0.4375
"Diseases associated with surfactant metabolism",10,2,21,36.5,52,52,67.5,83,0.2
"Diseases associated with the TLR signaling cascade",32,12,5,11,26.8333333333333,17.5,46,64,0.375
"Diseases associated with visual transduction",13,2,20,27.25,34.5,34.5,41.75,49,0.153846153846154
"Diseases of Base Excision Repair",5,2,15,20.75,26.5,26.5,32.25,38,0.4
"Diseases of Cellular Senescence",3,1,156,156,156,156,156,156,0.333333333333333
"Diseases of DNA Double-Strand Break Repair",41,12,2,13,69.75,41,56.25,425,0.292682926829268
"Diseases of DNA repair",51,16,2,13.5,59.1875,39,53.5,425,0.313725490196078
"Diseases of Immune System",32,12,5,11,26.8333333333333,17.5,46,64,0.375
"Diseases of Mismatch Repair (MMR)",5,2,12,20.25,28.5,28.5,36.75,45,0.4
"Diseases of Telomere Maintenance",2,0,NA,NA,NA,NA,NA,NA,0
"Diseases of branched-chain amino acid catabolism",13,5,1,8,34,15,30,116,0.384615384615385
"Diseases of carbohydrate metabolism",34,12,3,12.25,24.25,18.5,30.75,65,0.352941176470588
"Diseases of cellular response to stress",3,1,156,156,156,156,156,156,0.333333333333333
"Diseases of glycosylation",144,42,1,8.25,55.2380952380952,23.5,58,829,0.291666666666667
"Diseases of hemostasis",19,5,16,35,196.8,43,74,816,0.263157894736842
"Diseases of metabolism",262,73,1,9,47.7123287671233,22,49,829,0.278625954198473
"Diseases of mitochondrial beta oxidation",2,1,5,5,5,5,5,5,0.5
"Diseases of mitotic cell cycle",38,10,1,7,150.4,15,175.75,802,0.263157894736842
"Diseases of nucleotide metabolism",4,0,NA,NA,NA,NA,NA,NA,0
"Diseases of programmed cell death",104,41,2,10,42.1219512195122,17,76,159,0.394230769230769
"Diseases of propionyl-CoA catabolism",2,1,5,5,5,5,5,5,0.5
"Diseases of signal transduction by growth factor receptors and second messengers",454,161,1,10,67.3354037267081,23,58,1073,0.354625550660793
"Diseases of the neuronal system",13,2,20,27.25,34.5,34.5,41.75,49,0.153846153846154
"Disinhibition of SNARE formation",5,1,1,1,1,1,1,1,0.2
"Disorders of Developmental Biology",18,5,5,18,37.2,19,46,98,0.277777777777778
"Disorders of Nervous System Development",13,3,5,11.5,23,18,32,46,0.230769230769231
"Disorders of transmembrane transporters",163,56,1,11.75,72.9285714285714,29,59.75,383,0.343558282208589
"Displacement of DNA glycosylase by APEX1",9,3,15,26.5,36.6666666666667,38,47.5,57,0.333333333333333
"Dissolution of Fibrin Clot",13,3,1,7,18.6666666666667,13,27.5,42,0.230769230769231
"Dopamine Neurotransmitter Release Cycle",23,4,4,42.25,58.75,66.5,83,98,0.173913043478261
"Dopamine clearance from the synaptic cleft",5,1,12,12,12,12,12,12,0.2
"Dopamine receptors",5,0,NA,NA,NA,NA,NA,NA,0
"Downregulation of ERBB2 signaling",29,13,3,15,31.5384615384615,22,23,134,0.448275862068966
"Downregulation of ERBB2:ERBB3 signaling",13,7,3,15,22.5714285714286,19,20.5,65,0.538461538461538
"Downregulation of ERBB4 signaling",9,4,6,12.75,27,18.5,32.75,65,0.444444444444444
"Downregulation of SMAD2/3:SMAD4 transcriptional activity",31,13,1,4,29.9230769230769,9,24,203,0.419354838709677
"Downregulation of TGF-beta receptor signaling",26,11,1,18.5,78.7272727272727,34,63,404,0.423076923076923
"Downstream TCR signaling",89,26,2,5.25,38.1153846153846,14.5,52,305,0.292134831460674
"Downstream signal transduction",29,11,3,8,62.9090909090909,26,63,394,0.379310344827586
"Downstream signaling events of B Cell Receptor (BCR)",68,18,2,11,31.2777777777778,22.5,56.5,69,0.264705882352941
"Downstream signaling of activated FGFR1",31,6,9,13,26.6666666666667,24,34.25,56,0.193548387096774
"Downstream signaling of activated FGFR2",30,7,3,9.5,23.2857142857143,22,31.5,56,0.233333333333333
"Downstream signaling of activated FGFR3",25,7,9,16,29.5714285714286,26,42,56,0.28
"Downstream signaling of activated FGFR4",27,5,9,22,30,26,37,56,0.185185185185185
"Drug ADME",109,30,2,7.25,45.9,14.5,35.5,308,0.275229357798165
"Drug resistance in ERBB2 KD mutants",4,1,23,23,23,23,23,23,0.25
"Drug resistance in ERBB2 TMD/JMD mutants",4,1,23,23,23,23,23,23,0.25
"Drug resistance of ALK mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Drug resistance of FLT3 mutants",1,1,10,10,10,10,10,10,1
"Drug resistance of KIT mutants",1,0,NA,NA,NA,NA,NA,NA,0
"Drug resistance of PDGFR mutants",1,1,70,70,70,70,70,70,1
"Drug-mediated inhibition of CDK4/CDK6 activity",5,1,7,7,7,7,7,7,0.2
"Drug-mediated inhibition of ERBB2 signaling",4,1,23,23,23,23,23,23,0.25
"Drug-mediated inhibition of MET activation",2,2,10,19.75,29.5,29.5,39.25,49,1
"Dual Incision in GG-NER",41,15,2,6.5,23.8666666666667,15,38,65,0.365853658536585
"Dual incision in TC-NER",63,24,1,7.75,39.125,17,54.25,309,0.380952380952381
"E2F mediated regulation of DNA replication",22,6,15,23.5,71.6666666666667,44,47.25,262,0.272727272727273
"E2F-enabled inhibition of pre-replication complex formation",9,1,48,48,48,48,48,48,0.111111111111111
"E3 ubiquitin ligases ubiquitinate target proteins",59,24,4,11.75,51.6666666666667,23.5,73.5,283,0.406779661016949
"ECM proteoglycans",76,18,1,4.75,34.8333333333333,10.5,29.25,215,0.236842105263158
"EGFR Transactivation by Gastrin",9,3,9,17.5,56.3333333333333,26,80,134,0.333333333333333
"EGFR downregulation",31,12,9,31.75,98.25,42,131,416,0.387096774193548
"EGFR interacts with phospholipase C-gamma",9,3,36,38,70,40,87,134,0.333333333333333
"EGR2 and SOX10-mediated initiation of Schwann cell myelination",29,5,7,8,19.4,15,24,43,0.172413793103448
"EML4 and NUDC in mitotic spindle formation",117,39,1,9.5,62.1538461538462,31,52,383,0.333333333333333
"EPH-Ephrin signaling",92,40,1,8.75,54.675,19,59.5,308,0.434782608695652
"EPH-ephrin mediated repulsion of cells",51,17,1,6,64.4705882352941,12,59,308,0.333333333333333
"EPHA-mediated growth cone collapse",29,11,1,9.5,73,33,101.5,306,0.379310344827586
"EPHB-mediated forward signaling",42,18,1,10.25,42.5555555555556,16.5,44.75,306,0.428571428571429
"ER Quality Control Compartment (ERQC)",21,9,7,11,101.222222222222,15,65,696,0.428571428571429
"ER to Golgi Anterograde Transport",156,46,1,7,56.5,21.5,46,414,0.294871794871795
"ER-Phagosome pathway",82,25,1,7,30.84,15,43,169,0.304878048780488
"ERBB2 Activates PTK6 Signaling",13,5,15,19,46.2,23,40,134,0.384615384615385
"ERBB2 Regulates Cell Motility",15,6,15,16.75,41.1666666666667,21,35.75,134,0.4
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",75,30,2,10,60.2,21,81.25,498,0.4
"ERK/MAPK targets",22,11,2,5.5,71.7272727272727,26,48.5,340,0.5
"ERKs are inactivated",13,6,2,5.75,58.6666666666667,21.5,38.75,262,0.461538461538462
"ESR-mediated signaling",220,76,1,9.75,62.1052631578947,31,82,563,0.345454545454545
"Early Phase of HIV Life Cycle",14,6,2,14,116.666666666667,42,156.25,415,0.428571428571429
"Early SARS-CoV-2 Infection Events",37,9,4,27,70,38,52,283,0.243243243243243
"Effects of PIP2 hydrolysis",27,6,3,5.75,18.5,9.5,23.75,56,0.222222222222222
"Eicosanoid ligand-binding receptors",15,5,4,9,47.6,15,29,181,0.333333333333333
"Eicosanoids",12,2,41,133.5,226,226,318.5,411,0.166666666666667
"Elastic fibre formation",44,10,1,4,9.7,8,10.75,32,0.227272727272727
"Electric Transmission Across Gap Junctions",5,2,2,49,96,96,143,190,0.4
"Electron transport from NADPH to Ferredoxin",3,1,9,9,9,9,9,9,0.333333333333333
"Elevation of cytosolic Ca2+ levels",16,4,3,9.75,23,20,33.25,49,0.25
"Endogenous sterols",25,4,9,9,13.5,12,16.5,21,0.16
"Endosomal Sorting Complex Required For Transport (ESCRT)",31,9,4,15,56.2222222222222,22,65,243,0.290322580645161
"Endosomal/Vacuolar pathway",11,1,23,23,23,23,23,23,0.0909090909090909
"Energy dependent regulation of mTOR by LKB1-AMPK",29,12,1,8.5,98.0833333333333,26.5,119.75,597,0.413793103448276
"Enhanced binding of GP1BA variant to VWF multimer:collagen ",7,0,NA,NA,NA,NA,NA,NA,0
"Enhanced cleavage of VWF variant by ADAMTS13",4,1,74,74,74,74,74,74,0.25
"Entry of Influenza Virion into Host Cell via Endocytosis",2,1,161,161,161,161,161,161,0.5
"Enzymatic degradation of Dopamine by monoamine oxidase",2,1,12,12,12,12,12,12,0.5
"Enzymatic degradation of dopamine by COMT",4,1,12,12,12,12,12,12,0.25
"Ephrin signaling",19,11,1,8,33.8181818181818,12,31.5,130,0.578947368421053
"Epigenetic regulation by WDR5-containing histone modifying complexes",166,59,1,10,65.864406779661,25,94.5,515,0.355421686746988
"Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes",134,45,1,10,65.9111111111111,46,91,515,0.335820895522388
"Epigenetic regulation of gene expression",317,117,1,10,67.6581196581197,23,82,515,0.369085173501577
"Epigenetic regulation of gene expression by MLL3 and MLL4 complexes",134,45,1,10,65.9111111111111,46,91,515,0.335820895522388
"Epithelial-Mesenchymal Transition (EMT) during gastrulation",7,1,11,11,11,11,11,11,0.142857142857143
"Erythrocytes take up carbon dioxide and release oxygen",13,3,33,37.5,118.333333333333,42,161,280,0.230769230769231
"Erythrocytes take up oxygen and release carbon dioxide",9,1,280,280,280,280,280,280,0.111111111111111
"Erythropoietin activates Phosphoinositide-3-kinase (PI3K)",12,4,3,17.25,43.75,29.5,56,113,0.333333333333333
"Erythropoietin activates Phospholipase C gamma (PLCG)",7,1,113,113,113,113,113,113,0.142857142857143
"Erythropoietin activates RAS",14,6,8,13.25,38.5,31.5,37.75,113,0.428571428571429
"Erythropoietin activates STAT5",7,2,74,83.75,93.5,93.5,103.25,113,0.285714285714286
"Essential fructosuria",1,1,29,29,29,29,29,29,1
"Essential pentosuria",1,0,NA,NA,NA,NA,NA,NA,0
"Establishment of Sister Chromatid Cohesion",11,4,1,7,43.25,32,68.25,108,0.363636363636364
"Estrogen biosynthesis",6,3,1,2.5,6.66666666666667,4,9.5,15,0.5
"Estrogen-dependent gene expression",149,58,1,12.25,65.7068965517241,49.5,89.5,371,0.389261744966443
"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",24,7,2,2.5,31.4285714285714,3,38,134,0.291666666666667
"Estrogen-stimulated signaling through PRKCZ",6,2,7,11.75,16.5,16.5,21.25,26,0.333333333333333
"Ethanol oxidation",12,3,2,6.5,73.6666666666667,11,109.5,208,0.25
"Eukaryotic Translation Elongation",94,25,2,17,56.16,33,55,256,0.265957446808511
"Eukaryotic Translation Initiation",120,31,2,15.5,42.6451612903226,30,46.5,256,0.258333333333333
"Eukaryotic Translation Termination",94,24,2,23,49.6666666666667,32.5,46,256,0.25531914893617
"Evasion by RSV of host interferon responses",35,10,3,16.75,57,26,56.75,203,0.285714285714286
"Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4",2,1,156,156,156,156,156,156,0.5
"Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6",3,1,156,156,156,156,156,156,0.333333333333333
"Evasion of Oncogene Induced Senescence Due to p14ARF Defects",1,1,156,156,156,156,156,156,1
"Evasion of Oncogene Induced Senescence Due to p16INK4A Defects",3,1,156,156,156,156,156,156,0.333333333333333
"Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4",2,1,156,156,156,156,156,156,0.5
"Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6",3,1,156,156,156,156,156,156,0.333333333333333
"Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects",1,1,156,156,156,156,156,156,1
"Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects",3,1,156,156,156,156,156,156,0.333333333333333
"Events associated with phagocytolytic activity of PMN cells",2,1,13,13,13,13,13,13,0.5
"Export of Viral Ribonucleoproteins from Nucleus",33,16,3,13.75,100.375,48.5,169,383,0.484848484848485
"Expression and Processing of Neurotrophins",4,0,NA,NA,NA,NA,NA,NA,0
"Expression and translocation of olfactory receptors",410,5,4,6,65.4,16,79,222,0.0121951219512195
"Expression of BMAL (ARNTL), CLOCK, and NPAS2",36,17,2,5,66.1176470588235,28,74,240,0.472222222222222
"Expression of NOTCH2NL genes",5,0,NA,NA,NA,NA,NA,NA,0
"Extension of Telomeres",51,17,2,9,44.5882352941176,17,56,183,0.333333333333333
"Extra-nuclear estrogen signaling",75,18,1,3,50.5,8,33.5,563,0.24
"Extracellular matrix organization",321,89,1,9,33.4606741573034,19,39,307,0.277258566978193
"Extrinsic Pathway of Fibrin Clot Formation",5,3,5,10.5,21.3333333333333,16,29.5,43,0.6
"FASTK family proteins regulate processing and stability of mitochondrial RNAs",6,0,NA,NA,NA,NA,NA,NA,0
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",42,11,4,14.5,34,22,56,69,0.261904761904762
"FBXW7 Mutants and NOTCH1 in Cancer",5,2,38,45.75,53.5,53.5,61.25,69,0.4
"FCERI mediated Ca+2 mobilization",86,11,3,7.5,49.7272727272727,28,41,308,0.127906976744186
"FCERI mediated MAPK activation",87,11,2,9,52.7272727272727,37,44,308,0.126436781609195
"FCERI mediated NF-kB activation",123,23,2,7,41.0869565217391,14,56,305,0.186991869918699
"FCGR activation",69,5,17,18,80.8,21,42,306,0.072463768115942
"FCGR3A-mediated IL10 synthesis",95,14,3,17.25,40.5714285714286,19,28,306,0.147368421052632
"FCGR3A-mediated phagocytosis",116,26,2,12.25,118.807692307692,43,235.5,420,0.224137931034483
"FGFR1 ligand binding and activation",18,1,10,10,10,10,10,10,0.0555555555555556
"FGFR1 mutant receptor activation",31,8,3,12.25,33.875,29.5,55.5,74,0.258064516129032
"FGFR1b ligand binding and activation",8,0,NA,NA,NA,NA,NA,NA,0
"FGFR1c and Klotho ligand binding and activation",3,0,NA,NA,NA,NA,NA,NA,0
"FGFR1c ligand binding and activation",14,1,10,10,10,10,10,10,0.0714285714285714
"FGFR2 alternative splicing",27,11,1,18,99,23,89,492,0.407407407407407
"FGFR2 ligand binding and activation",20,2,3,4.75,6.5,6.5,8.25,10,0.1
"FGFR2 mutant receptor activation",33,10,1,11.25,58.2,21.5,65,309,0.303030303030303
"FGFR2b ligand binding and activation",10,1,3,3,3,3,3,3,0.1
"FGFR2c ligand binding and activation",13,2,3,4.75,6.5,6.5,8.25,10,0.153846153846154
"FGFR3 ligand binding and activation",13,2,10,19.25,28.5,28.5,37.75,47,0.153846153846154
"FGFR3 mutant receptor activation",12,2,10,19.25,28.5,28.5,37.75,47,0.166666666666667
"FGFR3b ligand binding and activation",7,1,47,47,47,47,47,47,0.142857142857143
"FGFR3c ligand binding and activation",13,2,10,19.25,28.5,28.5,37.75,47,0.153846153846154
"FGFR4 ligand binding and activation",14,0,NA,NA,NA,NA,NA,NA,0
"FGFR4 mutant receptor activation",1,0,NA,NA,NA,NA,NA,NA,0
"FGFRL1 modulation of FGFR1 signaling",13,2,10,40,70,70,100,130,0.153846153846154
"FLT3 Signaling",38,18,3,9.25,26.3333333333333,19.5,33.25,74,0.473684210526316
"FLT3 mutants bind TKIs",1,1,10,10,10,10,10,10,1
"FLT3 signaling by CBL mutants",7,6,10,15.5,27.3333333333333,19.5,31.75,65,0.857142857142857
"FLT3 signaling in disease",28,13,9,17,35.3076923076923,29,56,74,0.464285714285714
"FLT3 signaling through SRC family kinases",6,3,10,13.5,14.6666666666667,17,17,17,0.5
"FMO oxidises nucleophiles",3,0,NA,NA,NA,NA,NA,NA,0
"FOXO-mediated transcription",66,19,1,3,49.2631578947368,25,75,200,0.287878787878788
"FOXO-mediated transcription of cell cycle genes",17,4,1,1,1.5,1,1.5,3,0.235294117647059
"FOXO-mediated transcription of cell death genes",16,6,3,5.75,62.8333333333333,41,110.75,164,0.375
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",30,9,1,7,52,27,82,200,0.3
"FRS-mediated FGFR1 signaling",23,4,9,9.75,25.25,18,33.5,56,0.173913043478261
"FRS-mediated FGFR2 signaling",25,5,3,9,20.8,10,26,56,0.2
"FRS-mediated FGFR3 signaling",20,5,9,10,29.6,26,47,56,0.25
"FRS-mediated FGFR4 signaling",22,3,9,17.5,30.3333333333333,26,41,56,0.136363636363636
"Factors involved in megakaryocyte development and platelet production",170,53,1,8,51.5660377358491,22,77,345,0.311764705882353
"Fanconi Anemia Pathway",39,14,2,15,31.6428571428571,20.5,50.75,82,0.358974358974359
"FasL/ CD95L signaling",5,3,5,15,20.3333333333333,25,28,31,0.6
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",8,4,6,9.75,49,20.5,59.75,149,0.5
"Fatty acid metabolism",175,48,1,7,41.4583333333333,21,59,411,0.274285714285714
"Fatty acids",15,3,8,12,21.6666666666667,16,28.5,41,0.2
"Fatty acyl-CoA biosynthesis",37,11,1,10.5,35.4545454545455,30,55,95,0.297297297297297
"Fc epsilon receptor (FCERI) signaling",173,43,2,7,40.5116279069767,17,48,308,0.248554913294798
"Fcgamma receptor (FCGR) dependent phagocytosis",143,35,2,9.5,101.114285714286,28,123.5,420,0.244755244755245
"Fertilization",26,4,1,3.25,212.25,9.5,218.5,829,0.153846153846154
"Fibronectin matrix formation",20,7,2,6.5,40.1428571428571,12,39,176,0.35
"Ficolins bind to repetitive carbohydrate structures on the target cell surface",5,2,10,26.25,42.5,42.5,58.75,75,0.4
"Folding of actin by CCT/TriC",10,1,125,125,125,125,125,125,0.1
"Formation of ATP by chemiosmotic coupling",20,9,4,15,87.2222222222222,56,101,271,0.45
"Formation of Fibrin Clot (Clotting Cascade)",39,10,5,16,28,24,38.75,69,0.256410256410256
"Formation of HIV elongation complex in the absence of HIV Tat",45,15,1,12,51.4666666666667,23,56.5,309,0.333333333333333
"Formation of HIV-1 elongation complex containing HIV-1 Tat",43,15,1,12,51.4666666666667,23,56.5,309,0.348837209302326
"Formation of Incision Complex in GG-NER",43,13,2,6,22.7692307692308,15,22,65,0.302325581395349
"Formation of RNA Pol II elongation complex ",58,20,1,15,80.45,23,84,482,0.344827586206897
"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",17,6,2,8.25,14.3333333333333,13.5,19.5,29,0.352941176470588
"Formation of TC-NER Pre-Incision Complex",51,16,1,14.25,48.1875,20,57.5,309,0.313725490196078
"Formation of WDR5-containing histone-modifying complexes",42,18,1,10.25,87.7777777777778,18.5,101,515,0.428571428571429
"Formation of a pool of free 40S subunits",102,27,2,15.5,45.2592592592593,31,48.5,256,0.264705882352941
"Formation of annular gap junctions",11,4,6,6,148,83.5,225.5,419,0.363636363636364
"Formation of apoptosome",11,4,2,8,35.25,36.5,63.75,66,0.363636363636364
"Formation of axial mesoderm",14,4,1,3.25,34.75,5.5,37,127,0.285714285714286
"Formation of definitive endoderm",17,1,1,1,1,1,1,1,0.0588235294117647
"Formation of editosomes by ADAR proteins",2,1,293,293,293,293,293,293,0.5
"Formation of intermediate mesoderm",8,2,10,131.5,253,253,374.5,496,0.25
"Formation of lateral plate mesoderm",5,0,NA,NA,NA,NA,NA,NA,0
"Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)",25,9,10,26,88.4444444444444,32,144,301,0.36
"Formation of paraxial mesoderm",59,13,4,14,72.2307692307692,25,57,396,0.220338983050847
"Formation of the Early Elongation Complex",33,12,1,8.25,57.1666666666667,21.5,84,309,0.363636363636364
"Formation of the Editosome",8,0,NA,NA,NA,NA,NA,NA,0
"Formation of the HIV-1 Early Elongation Complex",33,12,1,8.25,57.1666666666667,21.5,84,309,0.363636363636364
"Formation of the active cofactor, UDP-glucuronate",5,2,23,31.75,40.5,40.5,49.25,58,0.4
"Formation of the anterior neural plate",11,2,15,18.25,21.5,21.5,24.75,28,0.181818181818182
"Formation of the beta-catenin:TCF transactivating complex",91,35,2,10,58,32,86.5,294,0.384615384615385
"Formation of the canonical BAF (cBAF) complex",18,8,12,26.75,98.25,32.5,160.75,301,0.444444444444444
"Formation of the cornified envelope",129,24,1,8,30.625,13.5,23.75,231,0.186046511627907
"Formation of the dystrophin-glycoprotein complex (DGC)",36,12,3,12.75,28.5833333333333,27,40,67,0.333333333333333
"Formation of the embryonic stem cell BAF (esBAF) complex",19,7,10,26.5,69,32,88.5,211,0.368421052631579
"Formation of the nephric duct",18,4,35,38.75,145,62.5,168.75,420,0.222222222222222
"Formation of the non-canonical BAF (ncBAF) complex",17,8,7,11.5,90.5,29,146.5,301,0.470588235294118
"Formation of the polybromo-BAF (pBAF) complex",18,7,10,24.5,90,27,121.5,301,0.388888888888889
"Formation of the posterior neural plate",10,1,15,15,15,15,15,15,0.1
"Formation of the ternary complex, and subsequently, the 43S complex",52,12,2,12,40.4166666666667,23.5,41,206,0.230769230769231
"Formation of the ureteric bud",21,7,5,11,123.714285714286,73,135,496,0.333333333333333
"Formation of tubulin folding intermediates by CCT/TriC",26,6,22,31.75,109,65.5,118,345,0.230769230769231
"Formation of xylulose-5-phosphate",5,0,NA,NA,NA,NA,NA,NA,0
"Formyl peptide receptors bind formyl peptides and many other ligands",8,2,12,12.5,13,13,13.5,14,0.25
"Free fatty acid receptors",5,2,13,17,21,21,25,29,0.4
"Free fatty acids regulate insulin secretion",11,4,6,9.75,49,20.5,59.75,149,0.363636363636364
"Frs2-mediated activation",12,4,2,23.75,28.75,34.5,39.5,44,0.333333333333333
"Fructose biosynthesis",2,0,NA,NA,NA,NA,NA,NA,0
"Fructose catabolism",5,3,6,17.5,27.6666666666667,29,38.5,48,0.6
"Fructose metabolism",7,3,6,17.5,27.6666666666667,29,38.5,48,0.428571428571429
"G alpha (12/13) signalling events",80,27,1,9,75.7777777777778,27,88,486,0.3375
"G alpha (i) signalling events",314,74,1,7.25,44.3378378378378,18,33.75,365,0.235668789808917
"G alpha (q) signalling events",217,44,2,8,50.2954545454545,17.5,34.75,486,0.202764976958525
"G alpha (s) signalling events",157,35,2,9,30.8285714285714,18,31,193,0.222929936305732
"G alpha (z) signalling events",48,11,3,6.5,17.6363636363636,9,20,56,0.229166666666667
"G beta:gamma signalling through BTK",18,3,9,10.5,14.3333333333333,12,17,22,0.166666666666667
"G beta:gamma signalling through CDC42",20,4,9,11.25,21.75,17,27.5,44,0.2
"G beta:gamma signalling through PI3Kgamma",25,6,3,7.5,15,10.5,19.5,37,0.24
"G beta:gamma signalling through PLC beta",20,4,9,11.25,18.25,17,24,30,0.2
"G protein gated Potassium channels",29,6,9,13.75,22.8333333333333,20.5,22,53,0.206896551724138
"G-protein activation",24,6,6,9.5,34.8333333333333,11.5,19.5,149,0.25
