"pathway","num_genes","num_TGs","min","q25","mean","median","q75","max","TG_prop"
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA",5,0,NA,NA,NA,NA,NA,NA,0
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA",3,1,24,24,24,24,24,24,0.333333333333333
"Beta-catenin independent WNT signaling",133,37,1,9,49.3783783783784,22,61,371,0.278195488721804
"Beta-catenin phosphorylation cascade",17,8,2,12.25,60.5,28,57.75,262,0.470588235294118
"Beta-ketothiolase deficiency",1,0,NA,NA,NA,NA,NA,NA,0
"Beta-oxidation of pristanoyl-CoA",9,3,1,3.5,24.6666666666667,6,36.5,67,0.333333333333333
"Beta-oxidation of very long chain fatty acids",11,3,4,12.5,16,21,22,23,0.272727272727273
"Bicarbonate transporters",10,6,2,4.5,71.3333333333333,10.5,94.5,280,0.6
"Bile acid and bile salt metabolism",44,10,3,7,19.6,11.5,26.25,67,0.227272727272727
"Binding and Uptake of Ligands by Scavenger Receptors",98,9,3,10,30.1111111111111,19,42,71,0.0918367346938776
"Binding and entry of HIV virion",4,1,23,23,23,23,23,23,0.25
"Binding of TCF/LEF:CTNNB1 to target gene promoters",8,2,61,77.5,94,94,110.5,127,0.25
"Biofilm formation",23,7,2,6.5,43,25,42.5,176,0.304347826086957
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",2,0,NA,NA,NA,NA,NA,NA,0
"Biological oxidations",215,50,1,10,46.78,21,44.5,411,0.232558139534884
"Biosynthesis of A2E, implicated in retinal degradation",1,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of D-series resolvins",4,1,80,80,80,80,80,80,0.25
"Biosynthesis of DHA-derived SPMs",17,2,68,71,74,74,77,80,0.117647058823529
"Biosynthesis of DHA-derived sulfido conjugates",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPA-derived SPMs",4,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPAn-3 SPMs",4,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPAn-3-derived 13-series resolvins",1,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPAn-3-derived maresins",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPAn-3-derived protectins and resolvins",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of DPAn-6 SPMs",2,0,NA,NA,NA,NA,NA,NA,0
"Biosynthesis of E-series 18(R)-resolvins",4,1,80,80,80,80,80,80,0.25
"Biosynthesis of E-series 18(S)-resolvins",5,1,80,80,80,80,80,80,0.2
"Biosynthesis of EPA-derived SPMs",6,1,80,80,80,80,80,80,0.166666666666667
"Biosynthesis of Lipoxins (LX)",6,0,NA,NA,NA,NA,NA,NA,0
