"pathway","geneSize"
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",61
"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway",7
"APOBEC3G mediated resistance to HIV-1 infection",5
"Apoptosis",166
"Apoptosis induced DNA fragmentation",13
"Apoptotic cleavage of cell adhesion  proteins",11
"Apoptotic cleavage of cellular proteins",38
"Apoptotic execution phase",52
"Apoptotic factor-mediated response",20
"Aquaporin-mediated transport",52
"Arachidonate metabolism",59
"Arachidonate production from DAG",5
"ARL13B-mediated ciliary trafficking of INPP5E",3
"ARMS-mediated activation",7
"Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2",1
"Aryl hydrocarbon receptor signalling",6
"ASP-3026-resistant ALK mutants",1
"Asparagine N-linked glycosylation",312
"Aspartate and asparagine metabolism",11
"Aspirin ADME",44
"Assembly and cell surface presentation of NMDA receptors",44
"Assembly and release of respiratory syncytial virus (RSV) virions",2
"Assembly of active LPL and LIPC lipase complexes",19
"Assembly of collagen fibrils and other multimeric structures",61
"Assembly Of The HIV Virion",16
"Assembly of the ORC complex at the origin of replication",68
"Assembly of the pre-replicative complex",132
"Assembly of Viral Components at the Budding Site",2
"Association of TriC/CCT with target proteins during biosynthesis",39
"Astrocytic Glutamate-Glutamine Uptake And Metabolism",4
"Asymmetric localization of PCP proteins",51
"ATF4 activates genes in response to endoplasmic reticulum  stress",27
"ATF6 (ATF6-alpha) activates chaperone genes",10
"ATF6 (ATF6-alpha) activates chaperones",12
"ATF6B (ATF6-beta) activates chaperones",4
"Atorvastatin ADME",9
"ATP sensitive Potassium channels",4
"ATP-dependent chromatin remodelers",31
"Attachment and Entry",19
"Attachment of bacteria to epithelial cells",23
"Attachment of GPI anchor to uPAR",7
"Attenuation phase",28
"AUF1 (hnRNP D0) binds and destabilizes mRNA",42
"AURKA Activation by TPX2",72
"Autodegradation of Cdh1 by Cdh1:APC/C",54
"Autodegradation of the E3 ubiquitin ligase COP1",39
"Autointegration results in viral DNA circles",3
"Autophagy",159
"AXIN missense mutants destabilize the destruction complex",14
"Axon guidance",536
"Axonal growth inhibition (RHOA activation)",9
"Axonal growth stimulation",4
"Azathioprine ADME",23
"B-WICH complex positively regulates rRNA expression",90
"Bacterial Infection Pathways",104
"Base Excision Repair",90
"Base-Excision Repair, AP Site Formation",62
"Basigin interactions",25
"BBSome-mediated cargo-targeting to cilium",23
"BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV",4
"BDNF activates NTRK2 (TRKB) signaling",2
"Beta defensins",43
"Beta oxidation of butanoyl-CoA to acetyl-CoA",5
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",6
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA",5
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",5
"Beta oxidation of myristoyl-CoA to lauroyl-CoA",3
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA",5
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA",3
"Beta-catenin independent WNT signaling",133
"Beta-catenin phosphorylation cascade",17
"Beta-ketothiolase deficiency",1
"Beta-oxidation of pristanoyl-CoA",9
