"pathway","geneSize"
"Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)",1
"Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)",1
"Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)",1
"Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)",1
"Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)",1
"Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)",1
"Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)",1
"Defective SLC26A2 causes chondrodysplasias",1
"Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)",1
"Defective SLC26A4 causes Pendred syndrome (PDS)",1
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",1
"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)",1
"Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)",1
"Defective SLC2A10 causes arterial tortuosity syndrome (ATS)",1
"Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)",1
"Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)",1
"Defective SLC33A1 causes spastic paraplegia 42 (SPG42)",1
"Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)",1
"Defective SLC34A2 causes PALM",1
"Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)",1
"Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)",1
"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)",1
"Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)",1
"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",1
"Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)",1
"Defective SLC35D1 causes SCHBCKD",1
"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",1
"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",1
"Defective SLC3A1 causes cystinuria (CSNU)",2
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)",2
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)",2
"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",1
"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",1
"Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)",1
"Defective SLC5A2 causes renal glucosuria (GLYS1)",1
"Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)",1
"Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)",1
"Defective SLC6A19 causes Hartnup disorder (HND)",1
"Defective SLC6A2 causes orthostatic intolerance (OI)",1
"Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)",1
"Defective SLC6A5 causes hyperekplexia 3 (HKPX3)",1
"Defective SLC7A7 causes lysinuric protein intolerance (LPI)",2
"Defective SLC7A9 causes cystinuria (CSNU)",2
"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",1
"Defective SLC9A9 causes autism 16 (AUTS16)",1
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",1
"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",1
"Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)",1
"Defective SRD5A3 causes SRD5A3-CDG, KHRZ",1
"Defective ST3GAL3 causes MCT12 and EIEE15",8
"Defective TBXAS1 causes GHDD",1
"Defective TCN2 causes TCN2 deficiency",1
"Defective TPMT causes TPMT deficiency",1
"Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)",32
"Defective translocation of RB1 mutants to the nucleus",1
"Defective UGT1A1 causes hyperbilirubinemia",1
"Defective UGT1A4 causes hyperbilirubinemia",1
"Defective visual phototransduction due to ABCA4 loss of function",1
"Defective visual phototransduction due to LRAT loss of function",2
"Defective visual phototransduction due to OPN1LW loss of function",1
"Defective visual phototransduction due to OPN1MW loss of function",1
"Defective visual phototransduction due to OPN1SW loss of function",1
"Defective visual phototransduction due to RDH12 loss of function",1
"Defective visual phototransduction due to RDH5 loss of function",2
"Defective visual phototransduction due to STRA6 loss of function",3
"Defective VWF binding to collagen type I ",3
"Defective VWF cleavage by ADAMTS13 variant",4
"Defects in biotin (Btn) metabolism",8
"Defects in cobalamin (B12) metabolism",14
"Defects in vitamin and cofactor metabolism",22
"Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)",16
"Defects of platelet adhesion to exposed collagen",8
"Defensins",53
"Degradation of AXIN",42
"Degradation of beta-catenin by the destruction complex",72
"Degradation of CDH1",53
"Degradation of CRY and PER proteins",48
"Degradation of cysteine and homocysteine",15
"Degradation of DVL",44
"Degradation of GABA",2
"Degradation of GLI1 by the proteasome",47
"Degradation of GLI2 by the proteasome",47
"Degradation of the extracellular matrix",140
"Deletions in the AMER1 gene destabilize the destruction complex",1
"Deletions in the AXIN1 gene destabilize the destruction complex",1
"Depolymerization of the Nuclear Lamina",15
"Deposition of new CENPA-containing nucleosomes at the centromere",72
"Depurination",55
"Depyrimidination",60
"Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models",22
"Detoxification of Reactive Oxygen Species",37
"Deubiquitination",285
"Developmental Biology",1522
"Developmental Cell Lineages",153
"Developmental Cell Lineages of the Exocrine Pancreas",84
"Developmental Cell Lineages of the Integumentary System",73
"Developmental Lineage of Mammary Gland Alveolar Cells",18
"Developmental Lineage of Mammary Gland Luminal Epithelial Cells",24
"Developmental Lineage of Mammary Gland Myoepithelial Cells",20
"Developmental Lineage of Mammary Stem Cells",15
"Developmental Lineage of Multipotent Pancreatic Progenitor Cells",18
"Developmental Lineage of Pancreatic Acinar Cells",32
"Developmental Lineage of Pancreatic Ductal Cells",48
"Developmental Lineages of the Mammary Gland",40
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production ",7
"Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin",40
"Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells)",13
"Differentiation of T cells",13
"Digestion",23
"Digestion and absorption",28
"Digestion of dietary carbohydrate",11
"Digestion of dietary lipid",7
"Dimerization of procaspase-8",11
"Disassembly of the destruction complex and recruitment of AXIN to the membrane",31
"Disease",1926
"Diseases associated with glycosaminoglycan metabolism",41
"Diseases associated with glycosylation precursor biosynthesis",16
"Diseases associated with N-glycosylation of proteins",20
"Diseases associated with O-glycosylation of proteins",68
"Diseases associated with surfactant metabolism",10
"Diseases associated with the TLR signaling cascade",32
"Diseases associated with visual transduction",13
"Diseases of Base Excision Repair",5
"Diseases of branched-chain amino acid catabolism",13
"Diseases of carbohydrate metabolism",34
"Diseases of cellular response to stress",3
"Diseases of Cellular Senescence",3
"Diseases of DNA Double-Strand Break Repair",41
"Diseases of DNA repair",51
"Diseases of glycosylation",144
"Diseases of hemostasis",19
"Diseases of Immune System",32
"Diseases of metabolism",262
"Diseases of Mismatch Repair (MMR)",5
"Diseases of mitochondrial beta oxidation",2
"Diseases of mitotic cell cycle",38
"Diseases of nucleotide metabolism",4
"Diseases of programmed cell death",104
"Diseases of propionyl-CoA catabolism",2
"Diseases of signal transduction by growth factor receptors and second messengers",454
"Diseases of Telomere Maintenance",2
"Diseases of the neuronal system",13
"Disinhibition of SNARE formation",5
"Disorders of Developmental Biology",18
"Disorders of Nervous System Development",13
"Disorders of transmembrane transporters",163
"Displacement of DNA glycosylase by APEX1",9
"Dissolution of Fibrin Clot",13
"DNA Damage Bypass",48
"DNA Damage Recognition in GG-NER",38
"DNA Damage Reversal",8
"DNA Damage/Telomere Stress Induced Senescence",79
"DNA Double Strand Break Response",78
"DNA Double-Strand Break Repair",170
"DNA methylation",64
"DNA Repair",332
"DNA Replication",184
"DNA replication initiation",8
"DNA Replication Pre-Initiation",149
"DNA strand elongation",32
"Dopamine clearance from the synaptic cleft",5
"Dopamine Neurotransmitter Release Cycle",23
"Dopamine receptors",5
"Downregulation of ERBB2 signaling",29
"Downregulation of ERBB2:ERBB3 signaling",13
"Downregulation of ERBB4 signaling",9
"Downregulation of SMAD2/3:SMAD4 transcriptional activity",31
"Downregulation of TGF-beta receptor signaling",26
"Downstream signal transduction",29
"Downstream signaling events of B Cell Receptor (BCR)",68
"Downstream signaling of activated FGFR1",31
"Downstream signaling of activated FGFR2",30
"Downstream signaling of activated FGFR3",25
"Downstream signaling of activated FGFR4",27
"Downstream TCR signaling",89
"Drug ADME",109
"Drug resistance in ERBB2 KD mutants",4
"Drug resistance in ERBB2 TMD/JMD mutants",4
"Drug resistance of ALK mutants",1
"Drug resistance of FLT3 mutants",1
"Drug resistance of KIT mutants",1
"Drug resistance of PDGFR mutants",1
"Drug-mediated inhibition of CDK4/CDK6 activity",5
"Drug-mediated inhibition of ERBB2 signaling",4
"Drug-mediated inhibition of MET activation",2
"DS-GAG biosynthesis",12
"DSCAM interactions",4
"Dual Incision in GG-NER",41
"Dual incision in TC-NER",63
"E2F mediated regulation of DNA replication",22
"E2F-enabled inhibition of pre-replication complex formation",9
"E3 ubiquitin ligases ubiquitinate target proteins",59
"Early Phase of HIV Life Cycle",14
"Early SARS-CoV-2 Infection Events",37
"ECM proteoglycans",76
"Effects of PIP2 hydrolysis",27
"EGFR downregulation",31
"EGFR interacts with phospholipase C-gamma",9
"EGFR Transactivation by Gastrin",9
"EGR2 and SOX10-mediated initiation of Schwann cell myelination",29
"Eicosanoid ligand-binding receptors",15
"Eicosanoids",12
"Elastic fibre formation",44
"Electric Transmission Across Gap Junctions",5
"Electron transport from NADPH to Ferredoxin",3
"Elevation of cytosolic Ca2+ levels",16
"EML4 and NUDC in mitotic spindle formation",117
"Endogenous sterols",25
"Endosomal Sorting Complex Required For Transport (ESCRT)",31
"Endosomal/Vacuolar pathway",11
"Energy dependent regulation of mTOR by LKB1-AMPK",29
"Enhanced binding of GP1BA variant to VWF multimer:collagen ",7
"Enhanced cleavage of VWF variant by ADAMTS13",4
"eNOS activation",13
"Entry of Influenza Virion into Host Cell via Endocytosis",2
"Enzymatic degradation of dopamine by COMT",4
"Enzymatic degradation of Dopamine by monoamine oxidase",2
"EPH-ephrin mediated repulsion of cells",51
"EPH-Ephrin signaling",92
"EPHA-mediated growth cone collapse",29
"EPHB-mediated forward signaling",42
"Ephrin signaling",19
"Epigenetic regulation by WDR5-containing histone modifying complexes",166
"Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes",134
"Epigenetic regulation of gene expression",317
"Epigenetic regulation of gene expression by MLL3 and MLL4 complexes",134
"Epithelial-Mesenchymal Transition (EMT) during gastrulation",7
"ER Quality Control Compartment (ERQC)",21
"ER to Golgi Anterograde Transport",156
"ER-Phagosome pathway",82
"ERBB2 Activates PTK6 Signaling",13
"ERBB2 Regulates Cell Motility",15
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",75
"ERK/MAPK targets",22
"ERKs are inactivated",13
"Erythrocytes take up carbon dioxide and release oxygen",13
"Erythrocytes take up oxygen and release carbon dioxide",9
"Erythropoietin activates Phosphoinositide-3-kinase (PI3K)",12
"Erythropoietin activates Phospholipase C gamma (PLCG)",7
"Erythropoietin activates RAS",14
"Erythropoietin activates STAT5",7
"ESR-mediated signaling",220
"Essential fructosuria",1
"Essential pentosuria",1
"Establishment of Sister Chromatid Cohesion",11
"Estrogen biosynthesis",6
"Estrogen-dependent gene expression",149
"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",24
"Estrogen-stimulated signaling through PRKCZ",6
"Ethanol oxidation",12
"Eukaryotic Translation Elongation",94
"Eukaryotic Translation Initiation",120
"Eukaryotic Translation Termination",94
"Evasion by RSV of host interferon responses",35
"Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4",2
"Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6",3
"Evasion of Oncogene Induced Senescence Due to p14ARF Defects",1
"Evasion of Oncogene Induced Senescence Due to p16INK4A Defects",3
"Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4",2
"Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6",3
"Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects",1
"Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects",3
"Events associated with phagocytolytic activity of PMN cells",2
"Export of Viral Ribonucleoproteins from Nucleus",33
"Expression and Processing of Neurotrophins",4
"Expression and translocation of olfactory receptors",410
"Expression of BMAL (ARNTL), CLOCK, and NPAS2",36
"Expression of NOTCH2NL genes",5
"Extension of Telomeres",51
"Extra-nuclear estrogen signaling",75
"Extracellular matrix organization",321
"Extrinsic Pathway of Fibrin Clot Formation",5
"Factors involved in megakaryocyte development and platelet production",170
"Fanconi Anemia Pathway",39
"FasL/ CD95L signaling",5
"FASTK family proteins regulate processing and stability of mitochondrial RNAs",6
"Fatty acid metabolism",175
"Fatty acids",15
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",8
"Fatty acyl-CoA biosynthesis",37
"FBXL7 down-regulates AURKA during mitotic entry and in early mitosis",42
"FBXW7 Mutants and NOTCH1 in Cancer",5
"Fc epsilon receptor (FCERI) signaling",173
"FCERI mediated Ca+2 mobilization",86
"FCERI mediated MAPK activation",87
"FCERI mediated NF-kB activation",123
"Fcgamma receptor (FCGR) dependent phagocytosis",143
"FCGR activation",69
"FCGR3A-mediated IL10 synthesis",95
"FCGR3A-mediated phagocytosis",116
"Fertilization",26
"FGFR1 ligand binding and activation",18
"FGFR1 mutant receptor activation",31
"FGFR1b ligand binding and activation",8
"FGFR1c and Klotho ligand binding and activation",3
"FGFR1c ligand binding and activation",14
"FGFR2 alternative splicing",27
"FGFR2 ligand binding and activation",20
"FGFR2 mutant receptor activation",33
"FGFR2b ligand binding and activation",10
"FGFR2c ligand binding and activation",13
"FGFR3 ligand binding and activation",13
"FGFR3 mutant receptor activation",12
"FGFR3b ligand binding and activation",7
"FGFR3c ligand binding and activation",13
"FGFR4 ligand binding and activation",14
"FGFR4 mutant receptor activation",1
"FGFRL1 modulation of FGFR1 signaling",13
"Fibronectin matrix formation",20
"Ficolins bind to repetitive carbohydrate structures on the target cell surface",5
"FLT3 mutants bind TKIs",1
"FLT3 Signaling",38
"FLT3 signaling by CBL mutants",7
"FLT3 signaling in disease",28
"FLT3 signaling through SRC family kinases",6
"FMO oxidises nucleophiles",3
"Folding of actin by CCT/TriC",10
"Formation of a pool of free 40S subunits",102
"Formation of annular gap junctions",11
"Formation of apoptosome",11
"Formation of ATP by chemiosmotic coupling",20
"Formation of axial mesoderm",14
"Formation of definitive endoderm",17
"Formation of editosomes by ADAR proteins",2
"Formation of Fibrin Clot (Clotting Cascade)",39
"Formation of HIV elongation complex in the absence of HIV Tat",45
"Formation of HIV-1 elongation complex containing HIV-1 Tat",43
"Formation of Incision Complex in GG-NER",43
"Formation of intermediate mesoderm",8
"Formation of lateral plate mesoderm",5
"Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)",25
"Formation of paraxial mesoderm",59
"Formation of RNA Pol II elongation complex ",58
"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",17
"Formation of TC-NER Pre-Incision Complex",51
"Formation of the active cofactor, UDP-glucuronate",5
"Formation of the anterior neural plate",11
"Formation of the beta-catenin:TCF transactivating complex",91
"Formation of the canonical BAF (cBAF) complex",18
"Formation of the cornified envelope",129
"Formation of the dystrophin-glycoprotein complex (DGC)",36
"Formation of the Early Elongation Complex",33
"Formation of the Editosome",8
"Formation of the embryonic stem cell BAF (esBAF) complex",19
"Formation of the HIV-1 Early Elongation Complex",33
"Formation of the nephric duct",18
"Formation of the non-canonical BAF (ncBAF) complex",17
"Formation of the polybromo-BAF (pBAF) complex",18
"Formation of the posterior neural plate",10
"Formation of the ternary complex, and subsequently, the 43S complex",52
"Formation of the ureteric bud",21
"Formation of tubulin folding intermediates by CCT/TriC",26
"Formation of WDR5-containing histone-modifying complexes",42
"Formation of xylulose-5-phosphate",5
"Formyl peptide receptors bind formyl peptides and many other ligands",8
"FOXO-mediated transcription",66
"FOXO-mediated transcription of cell cycle genes",17
"FOXO-mediated transcription of cell death genes",16
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",30
"Free fatty acid receptors",5
"Free fatty acids regulate insulin secretion",11
"FRS-mediated FGFR1 signaling",23
"FRS-mediated FGFR2 signaling",25
"FRS-mediated FGFR3 signaling",20
"FRS-mediated FGFR4 signaling",22
"Frs2-mediated activation",12
"Fructose biosynthesis",2
"Fructose catabolism",5
"Fructose metabolism",7
"G alpha (12/13) signalling events",80
"G alpha (i) signalling events",314
"G alpha (q) signalling events",217
"G alpha (s) signalling events",157
"G alpha (z) signalling events",48
"G beta:gamma signalling through BTK",18
"G beta:gamma signalling through CDC42",20
"G beta:gamma signalling through PI3Kgamma",25
"G beta:gamma signalling through PLC beta",20
"G protein gated Potassium channels",29
"G-protein activation",24
"G-protein beta:gamma signalling",32
"G-protein mediated events",54
"G0 and Early G1",27
"G1 Phase",47
"G1/S DNA Damage Checkpoints",67
"G1/S Transition",121
"G1/S-Specific Transcription",29
"G2 Phase",5
"G2/M Checkpoints",156
"G2/M DNA damage checkpoint",96
"G2/M DNA replication checkpoint",7
"G2/M Transition",191
"GAB1 signalosome",17
"GABA B receptor activation",43
"GABA receptor activation",60
"GABA synthesis",2
"GABA synthesis, release, reuptake and degradation",19
"Gain-of-function MRAS complexes activate RAF signaling",8
"Galactose catabolism",6
"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",61
"Gamma-carboxylation of protein precursors",10
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",11
"Gap junction assembly",38
"Gap junction degradation",12
"Gap junction trafficking",49
"Gap junction trafficking and regulation",51
"Gap-filling DNA repair synthesis and ligation in GG-NER",25
"Gap-filling DNA repair synthesis and ligation in TC-NER",62
"Gastrin-CREB signalling pathway via PKC and MAPK",18
"Gastrulation",119
"GDP-fucose biosynthesis",6
"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",38
"Gene expression (Transcription)",1597
"Gene Silencing by RNA",139
"Generation of second messenger molecules",39
"Generic Transcription Pathway",1244
"Germ layer formation at gastrulation",17
"gilteritinib-resistant FLT3 mutants",1
"GLI proteins bind promoters of Hh responsive genes to promote transcription",7
"GLI3 is processed to GLI3R by the proteasome",47
"Global Genome Nucleotide Excision Repair (GG-NER)",84
"Glucagon signaling in metabolic regulation",33
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",42
"Glucagon-type ligand receptors",33
"Glucocorticoid biosynthesis",10
"Gluconeogenesis",26
"Glucose metabolism",84
"Glucuronidation",27
"Glutamate and glutamine metabolism",14
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",31
"Glutamate Neurotransmitter Release Cycle",24
"Glutathione conjugation",36
"Glutathione synthesis and recycling",12
"Glycerophospholipid biosynthesis",129
"Glycerophospholipid catabolism",7
"Glycine degradation",7
"Glycogen breakdown (glycogenolysis)",15
"Glycogen metabolism",26
"Glycogen storage disease type 0 (liver GYS2)",2
"Glycogen storage disease type 0 (muscle GYS1)",2
"Glycogen storage disease type Ia (G6PC)",1
"Glycogen storage disease type Ib (SLC37A4)",1
"Glycogen storage disease type II (GAA)",2
"Glycogen storage disease type IV (GBE1)",3
"Glycogen storage disease type XV (GYG1)",2
"Glycogen storage diseases",16
"Glycogen synthesis",14
"Glycolysis",73
"Glycoprotein hormones",12
"Glycosaminoglycan metabolism",136
"Glycosaminoglycan-protein linkage region biosynthesis",29
"Glycosphingolipid biosynthesis",19
"Glycosphingolipid catabolism",39
"Glycosphingolipid metabolism",58
"Glycosphingolipid transport",8
"Glyoxylate metabolism and glycine degradation",19
"Golgi Associated Vesicle Biogenesis",56
"Golgi Cisternae Pericentriolar Stack Reorganization",14
"Golgi-to-ER retrograde transport",134
"GP1b-IX-V activation signalling",12
"GPCR downstream signalling",629
"GPCR ligand binding",465
"GPER1 signaling",45
"GPVI-mediated activation cascade",35
"GRB2 events in EGFR signaling",13
"GRB2 events in ERBB2 signaling",16
"GRB2:SOS provides linkage to MAPK signaling for Integrins ",15
"GRB7 events in ERBB2 signaling",5
"Growth hormone receptor signaling",24
"GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2",42
"GSK3B-mediated proteasomal degradation of PD-L1(CD274)",44
"GTP hydrolysis and joining of the 60S ribosomal subunit",113
"H139Hfs13* PPM1K causes a mild variant of  MSUD",5
"HATs acetylate histones",142
"HCMV Early Events",138
"HCMV Infection",162
"HCMV Late Events",116
"HCN channels",4
"HDACs deacetylate histones",94
"HDL assembly",8
"HDL clearance",5
"HDL remodeling",10
"HDMs demethylate histones",50
"HDR through Homologous Recombination (HRR)",70
"HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)",134
"HDR through MMEJ (alt-NHEJ)",12
"HDR through Single Strand Annealing (SSA)",37
"Hedgehog 'off' state",100
"Hedgehog 'on' state",73
"Hedgehog ligand biogenesis",52
"Heme assimilation",3
"Heme biosynthesis",14
"Heme degradation",15
"Heme signaling",49
"Hemostasis",679
"Heparan sulfate/heparin (HS-GAG) metabolism",41
"Hereditary fructose intolerance",1
"Hh mutants abrogate ligand secretion",46
"Hh mutants are degraded by ERAD",43
"HHAT G278V doesn't palmitoylate Hh-Np",4
"High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells",69
"Highly calcium permeable nicotinic acetylcholine receptors",9
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors",11
"Highly sodium permeable postsynaptic acetylcholine nicotinic receptors",7
"Histamine receptors",4
"Histidine catabolism",8
"HIV elongation arrest and recovery",33
"HIV Infection",218
"HIV Life Cycle",149
"HIV Transcription Elongation",43
"HIV Transcription Initiation",47
"Homologous DNA Pairing and Strand Exchange",43
"Homology Directed Repair",140
"Hormone ligand-binding receptors",12
"Host Interactions of HIV factors",118
"HS-GAG biosynthesis",33
"HS-GAG degradation",20
"HSF1 activation",31
"HSF1-dependent transactivation",38
"HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand",57
"HuR (ELAVL1) binds and stabilizes mRNA",8
"Hyaluronan degradation",16
"Hyaluronan metabolism",20
"Hydrolysis of LPC",9
"Hydrolysis of LPE",2
"Hydroxycarboxylic acid-binding receptors",3
"Hypusine synthesis from eIF5A-lysine",4
"IFNG signaling activates MAPKs",8
"IGF1R signaling cascade",53
"IkBA variant leads to EDA-ID",7
"IKBKB deficiency causes SCID",3
"IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)",3
"IKK complex recruitment mediated by RIP1",23
"IL-6-type cytokine receptor ligand interactions",17
"Imatinib-resistant KIT mutants",1
"Imatinib-resistant PDGFR mutants",1
"Immune System",2243
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",190
"Impaired BRCA2 binding to PALB2",24
"Impaired BRCA2 binding to RAD51",35
"Impaired BRCA2 binding to SEM1 (DSS1)",2
"Impaired BRCA2 translocation to the nucleus",2
"Inactivation of APC/C via direct inhibition of the APC/C complex",21
"Inactivation of CDC42 and RAC1",8
"Inactivation of CSF3 (G-CSF) signaling",25
"Inactivation, recovery and regulation of the phototransduction cascade",33
"Incretin synthesis, secretion, and inactivation",24
"Induction of Cell-Cell Fusion",13
"Infection with Enterobacteria",34
"Infection with Mycobacterium tuberculosis",27
"Infectious disease",1104
"Inflammasomes",21
"Influenza Infection",157
"Influenza Viral RNA Transcription and Replication",137
"Influenza Virus Induced Apoptosis",2
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",29
"Inhibition of DNA recombination at telomere",67
"Inhibition of Host mRNA Processing and RNA Silencing",2
"Inhibition of membrane repair",1
"Inhibition of nitric oxide production",3
"Inhibition of PKR",1
"Inhibition of replication initiation of damaged DNA by RB1/E2F1",13
"Inhibition of Signaling by Overexpressed EGFR",8
"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",21
"Inhibition of TSC complex formation by PKB",3
"Initial triggering of complement",80
"Initiation of Nuclear Envelope (NE) Reformation",19
"InlA-mediated entry of Listeria monocytogenes into host cells",9
"InlB-mediated entry of Listeria monocytogenes into host cell",15
"Innate Immune System",1122
"Inorganic anion exchange by SLC26 transporters",8
"Inositol phosphate metabolism",78
"Inositol transporters",3
"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane",22
"Insulin effects increased synthesis of Xylulose-5-Phosphate",2
"Insulin processing",25
"Insulin receptor recycling",30
"Insulin receptor signalling cascade",54
"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",3
"Integration of energy metabolism",108
"Integration of provirus",9
"Integration of viral DNA into host genomic DNA",3
"Integrin cell surface interactions",85
"Integrin signaling",27
"Interaction between L1 and Ankyrins",31
"Interaction between PHLDA1 and AURKA",2
"Interaction With Cumulus Cells And The Zona Pellucida",11
"Interactions of Rev with host cellular proteins",37
"Interactions of Tat with host cellular proteins",2
"Interactions of Vpr with host cellular proteins",37
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate",3
"Interconversion of nucleotide di- and triphosphates",29
"Interconversion of polyamines",3
"Interferon alpha/beta signaling",78
"Interferon gamma signaling",98
"Interferon Signaling",280
"Interleukin receptor SHC signaling",27
"Interleukin-1 family signaling",139
"Interleukin-1 processing",9
"Interleukin-1 signaling",101
"Interleukin-10 signaling",45
"Interleukin-12 family signaling",57
"Interleukin-12 signaling",47
"Interleukin-15 signaling",14
"Interleukin-17 signaling",71
"Interleukin-18 signaling",8
"Interleukin-2 family signaling",44
"Interleukin-2 signaling",12
"Interleukin-20 family signaling",26
"Interleukin-21 signaling",10
"Interleukin-23 signaling",9
"Interleukin-27 signaling",11
"Interleukin-3, Interleukin-5 and GM-CSF signaling",48
"Interleukin-33 signaling",3
"Interleukin-35 Signalling",12
"Interleukin-36 pathway",7
"Interleukin-37 signaling",21
"Interleukin-38 signaling",4
"Interleukin-4 and Interleukin-13 signaling",111
"Interleukin-6 family signaling",24
"Interleukin-6 signaling",11
"Interleukin-7 signaling",36
"Interleukin-9 signaling",9
"Intestinal absorption",5
"Intestinal hexose absorption",4
"Intestinal infectious diseases",2
"Intestinal lipid absorption",1
"Intestinal saccharidase deficiencies",2
"Intra-Golgi and retrograde Golgi-to-ER traffic",203
"Intra-Golgi traffic",44
"Intracellular metabolism of fatty acids regulates insulin secretion",3
"Intracellular oxygen transport",3
"Intracellular signaling by second messengers",303
"Intraflagellar transport",54
"Intrinsic Pathway for Apoptosis",55
"Intrinsic Pathway of Fibrin Clot Formation",23
"Invadopodia formation",4
"Inwardly rectifying K+ channels",35
"Ion channel transport",183
"Ion homeostasis",54
"Ion influx/efflux at host-pathogen interface",4
"Ion transport by P-type ATPases",55
"Ionotropic activity of kainate receptors",10
"IP3 and IP4 transport between cytosol and nucleus",30
"IP6 and IP7 transport between cytosol and nucleus",30
"IPs transport between nucleus and cytosol",30
"IRAK1 recruits IKK complex",14
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation",14
"IRAK2 mediated activation of TAK1 complex",10
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation",15
"IRAK4 deficiency (TLR2/4)",18
"IRAK4 deficiency (TLR5)",4
"IRE1alpha activates chaperones",50
"IRF3 mediated activation of type 1 IFN",5
"IRF3-mediated induction of type I IFN",13
