"mature","strand","mature_miRNA","miRNA gene ID (HUGO)","miRNA precursor/locus ID (miRBase)","miRNA ID (miRBase)","miRNA precursor/locus ID (MirGeneDB)","oncogene (O)/tumor-suppressor (TS)","predominantly expressed miRNA (miRNA-strand balance)","top 3p miRNA targets (based on miRTarBase)","top 5p miRNA targets (based on miRTarBase)","CMC score","miRCancer POINTS [criterion I]","dbDEMC POINTS [criterion II]","oncomiRDB POINTS [criterion III]","consistency of associations POINTS [criterion IV]","cancer hallmarks POINTS [criterion V]","associated with hallmark Angiogenesis 1 (Angiogenesis, upregulated)","associated with hallmark Angiogenesis 2 (Angiogenesis)","associated with hallmark Angiogenesis 3 (Angiogenesis, MSigDB)","associated with hallmark Apoptosis 1 (Apoptosis, MSigDB)","associated with hallmark Apoptosis 2 (Apoptosis)","associated with hallmark DNA Repair (DNA repair, MSigDB)","associated with hallmark EMT (Epithelial mesenchymal transition, MSigDB)","associated with hallmark G2M Checkpoint (G2M checkpoint, MSigDB)","associated with hallmark Hypoxia 1 (Hypoxia, MSigDB)","associated with hallmark Hypoxia 2 (Hypoxia)","associated with hallmark IL2 STAT5 Signaling (IL2-STAT5 signalling, MSigDB)","associated with hallmark IL6 JAK STAT3 Signaling (IL6-JAK-STAT3 signalling, MSigDB)","associated with hallmark Immune (Immune invasion, upregulated)","associated with hallmark Inflammatory Response (Inflammatory response, MSigDB)","associated with hallmark Invasiveness (Invasiveness)","associated with hallmark KRAS Signaling Up (KRAS signalling, up, MSigDB)","associated with hallmark Oxidative Phosphorylation (Oxidative phosphorylation, MSigDB)"," associated with hallmark p53 Pathway (p53 Pathway, MSigDB)","associated with hallmark PI3K AKT MTOR Signaling (PI3K-AKT-MTor signalling, MSigDB)","associated with hallmark Proliferation (Proliferation, upregulated)","associated with hallmark ROS Pathway (Reactive oxygen species pathway, MSigDB)","associated with hallmark TGF Beta Signaling (TGF-beta signalling, MSigDB)","associated with hallmark TNFa Signaling via NFKB (TNF-alpha signalling via NF-kappaB, MSigDB)","associated with hallmark Xenobiotic Metabolism (Xenobiotic metabolism, MSigDB)","KEGG ""MicroRNAs in cancer"" POINTS [criterion VI]","genetic evidence POINTS [criterion VII]","differentially expressed in Pan-cancer (Hamilton, Nat Commun, 2013)","differentially expressed in Colorectal cancer (Vishnubalaji, Cell Death Dis, 2015)","differentially expressed in Gastric cancer (Oh, Clin Cancer Res, 2011)","differentially expressed in Head and neck cancer (Koshizuka, Oncotarget, 2017)","differentially expressed in Kidney cancer (Wach, Br J Cancer, 2013)","differentially expressed in Melanoma (Kozubek, PLoS One, 2013)","differentially expressed in Ovarian cancer (Krasniqi, Biomark Res, 2021)","differentially expressed in Thyroid cancer (Mancikova, Modern Pathology, 2015)","attributed to Bladder cancer (Rev) (Yoshino, Nat Rev Urol, 2013)","attributed to Breast cancer (Rev) (van Schooneveld, Breast Cancer Research, 2015)","attributed to Lung cancer (Rev) (Zhu, Front Cell Dev Biol, 2021)","attributed to Pancreatic cancer (Rev) (Yonemori, J Hum Genet, 2017)","attributed to Prostate cancer (Rev) (Goto, Int J Urol, 2015)","differentially expressed in TCGA-BLCA (Bladder Urothelial Carcinoma )","differentially expressed in TCGA-BRCA (Breast Invasive Carcinoma)","differentially expressed in TCGA-CHOL (Cholangiocarcinoma)","differentially expressed in TCGA-COAD (Colon Adenocarcinoma)","differentially expressed in TCGA-ESCA (Esophageal Carcinoma)","differentially expressed in TCGA-HNSC (Head and Neck Squamous Cell Carcinoma)","differentially expressed in TCGA-KICH (Kidney Chromophobe)","differentially expressed in TCGA-KIRC (Kidney Renal Clear Cell Carcinoma)","differentially expressed in TCGA-KIRP (Kidney Renal Papillary Cell Carcinoma)","differentially expressed in TCGA-LIHC (Liver Hepatocellular Carcinoma)","differentially expressed in TCGA-LUAD (Lung Adenocarcinoma)","differentially expressed in TCGA-LUSC (Lung Squamous Cell Carcinoma)","differentially expressed in TCGA-PRAD (Prostate Adenocarcinoma)","differentially expressed in TCGA-STAD (Stomach Adenocarcinoma)","differentially expressed in TCGA-THCA (Thyroid Cancer)","differentially expressed in TCGA-UCEC (Uterine Corpus Endometrial Carcinoma)","CRISPR/Cas9 KO screen  of  cell fitness (HeLa - cervical cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell fitness (NCI-N87 - gastric cancer cell line) (Kurata, RNA, 2018)","CRISPR/Cas9 KO screen  of cell growth (MV4-11 - myeloid leukemia cell line) (Wallace, PLOS One, 2016)","miRNAS as cancer therapeutic targets in clinical trials (Kim, Exp Mol Med, 2023)"
"hsa-miR-99b-5p","5p","hsa-miR-99b-5p","MIR99B","hsa-mir-99b","miR-99b","Hsa-Mir-10-P2b","","5p","","KBTBD8, SMARCA5",2,NA,0.5,0.5,NA,1,"","","UP","","UP","","","","","","","","","","","","","","","","","","","",NA,NA,"","DOWN","","","DOWN","","UP/DOWN","UP","","","","","","UP","UP","UP","","","UP","","UP","","","","","","","","UP","","","",""
"hsa-let-7a-5p","5p","hsa-let-7a-5p","MIRLET7A1","hsa-let-7a-1","let-7a","Hsa-Let-7-P2a1","","5p","","HMGA2, HMGA1",4.5,1,0.5,1,NA,1,"UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","UP/DOWN",1,NA,"DOWN","","UP","","","","","","","","DOWN","","UP","","UP","","UP","","","","","DOWN","DOWN","DOWN","DOWN","UP","UP","DOWN","UP","","ANTI","",""
"hsa-let-7a-5p","5p","hsa-let-7a-5p","MIRLET7A2","hsa-let-7a-2","let-7a","Hsa-Let-7-P1d","","5p","","HMGA2, HMGA1",4.5,1,0.5,1,NA,1,"UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","UP/DOWN",1,NA,"DOWN","","UP","","","","","","","","DOWN","","UP","","UP/DOWN","","UP","","","","","DOWN","DOWN","UP/DOWN","DOWN","UP","UP","DOWN","UP","PRO","","",""
"hsa-let-7a-5p","5p","hsa-let-7a-5p","MIRLET7A3","hsa-let-7a-3","let-7a","Hsa-Let-7-P2a2","","5p","","HMGA2, HMGA1",4.5,1,0.5,1,NA,1,"UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","DOWN","UP/DOWN","DOWN","DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN","DOWN","UP/DOWN",1,NA,"DOWN","","UP","","","","","","","","DOWN","","UP","","UP","","UP","","","","","DOWN","DOWN","DOWN","DOWN","UP","UP","DOWN","UP","","","",""
"hsa-let-7b-5p","5p","hsa-let-7b-5p","MIRLET7B","hsa-let-7b","let-7b","Hsa-Let-7-P2b2","TS","5p","","HMGA1, HMGA2",5,0.5,0.5,1,1,1,"UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP","UP/DOWN","UP","UP/DOWN","UP/DOWN","UP","UP","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP","UP/DOWN",1,NA,"DOWN","DOWN","","DOWN","DOWN","","DOWN","","","","DOWN","","DOWN","","DOWN","","DOWN","","","","UP","DOWN","DOWN","DOWN","","UP","","DOWN","","","","",""
"hsa-let-7c-5p","5p","hsa-let-7c-5p","MIRLET7C","hsa-let-7c","let-7c","Hsa-Let-7-P1c","TS","5p","","HMGA2, IGF1R",5,0.5,0.5,1,1,1,"UP/DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP",1,NA,"DOWN","DOWN","","DOWN","","","DOWN","","","","DOWN","","","","DOWN","DOWN","","","DOWN","DOWN","","","DOWN","DOWN","DOWN","","","DOWN","","","","ANTI",""
"hsa-let-7d-5p","5p","hsa-let-7d-5p","MIRLET7D","hsa-let-7d","let-7d","Hsa-Let-7-P2c1","","5p","","HMGA2, SLC11A2",4,0.5,0.5,1,NA,1,"UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN",1,NA,"","","UP","","DOWN","","","","","","","DOWN","","","UP","","DOWN","","UP","","UP","","","","","UP","UP","","UP","","","",""
"hsa-let-7e-5p","5p","hsa-let-7e-5p","MIRLET7E","hsa-let-7e","let-7e","Hsa-Let-7-P1b","TS","5p","","IGF1R, SMC1A",3.5,NA,0.5,1,NA,1,"UP/DOWN","UP","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP","UP","UP","DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","UP","UP/DOWN","UP/DOWN",1,NA,"","","UP","DOWN","DOWN","","","","","","","","","","","","","","","DOWN","DOWN","DOWN","DOWN","DOWN","","","","UP","","PRO","","PRO",""
"hsa-let-7f-5p","5p","hsa-let-7f-5p","MIRLET7F1","hsa-let-7f-1","let-7f","Hsa-Let-7-P2b1","","5p","","C5ORF51 (RIMOC1), GRPEL2",4,0.5,0.5,1,NA,1,"UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN",1,NA,"","","UP","","","","","","","","","DOWN","","","UP","","","","UP","","UP","","","","","","UP","","UP","","","",""
"hsa-let-7f-5p","5p","hsa-let-7f-5p","MIRLET7F2","hsa-let-7f-2","let-7f","Hsa-Let-7-P2a3","","5p","","C5ORF51 (RIMOC1), GRPEL2",4,0.5,0.5,1,NA,1,"UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","DOWN","UP/DOWN","","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN","UP/DOWN",1,NA,"","","UP","","","","","","","","","DOWN","","","UP","","","","UP","","UP","","","","","","UP","","UP","","","",""
"hsa-let-7g-5p","5p","hsa-let-7g-5p","MIRLET7G","hsa-let-7g","let-7g","Hsa-Let-7-P2c3","","5p","","HMGA2, IGF2BP1",3,NA,NA,1,NA,1,"","","","","","","","","DOWN","DOWN","","","","","","","","","","","","","","",1,NA,"","DOWN","UP","DOWN","","","DOWN","","","","","","","UP","UP","","","","","","UP/DOWN","","DOWN","UP","UP","UP","","","UP","","","",""
"hsa-let-7i-5p","5p","hsa-let-7i-5p","MIRLET7I","hsa-let-7i","let-7i","Hsa-Let-7-P2c2","","5p","","C5ORF51 (RIMOC1), GRPEL2",3.5,NA,0.5,1,NA,1,"","","","UP","","","UP","","UP","","UP","UP","UP","UP","UP","UP","","","UP","","","","UP","",1,NA,"","","UP","","","YES","DOWN","","","","","UP","","","DOWN","","","","","","UP","UP","","UP","UP","UP","UP","DOWN","","","","",""
