"pathway","gene"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HEATR4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HERC2P3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-B"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-C"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","HLA-DRB5"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LCE3E"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LINC02591"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","LPA"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MACROD2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MTA2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","MTMR8"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NANOG"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NEGR1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NME7"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","NRXN3"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2A1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2A42"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T10"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T11"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR2T34"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4C11"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4C6"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4M2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4N4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4P4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR4S2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR51A2"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","OR51A4"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","PDXDC1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","POTEB"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","PPIAL4A"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","PTPN20"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","RBFOX1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","RHD"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","SLC2A14"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","TAF13"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","TEX28"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","TMEM167B"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","TUT1"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","WDR47"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ZDHHC11"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ZDHHC14"
"CAMPS_COLON_CANCER_COPY_NUMBER_DN","ZNF630"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","ALYREF"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","ANAPC11"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","ANKRD10"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","APC2"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","BOP1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","BRSK2"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","C1orf220"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","C4orf36"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CANT1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CARD9"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CASKIN1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CCDC144BP"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CCNYL1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CERS1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","CSDE1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DACH1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DAZAP1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DIRAS1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DNASE1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DOK6"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","DUSP1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","EFTUD2"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","EIF1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","FBXO3"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","FLII"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","FSTL3"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","GAST"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","GATA4"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","GDF1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","GPALPP1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","GPSM1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","HAP1"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","HJV"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","KAZN"
"CAMPS_COLON_CANCER_COPY_NUMBER_UP","KRT13"
