"pathway","gene"
"ACEVEDO_LIVER_CANCER_DN","CPED1"
"ACEVEDO_LIVER_CANCER_DN","CRISPLD2"
"ACEVEDO_LIVER_CANCER_DN","CROT"
"ACEVEDO_LIVER_CANCER_DN","CRP"
"ACEVEDO_LIVER_CANCER_DN","CSK"
"ACEVEDO_LIVER_CANCER_DN","CSRNP1"
"ACEVEDO_LIVER_CANCER_DN","CTSB"
"ACEVEDO_LIVER_CANCER_DN","CTSF"
"ACEVEDO_LIVER_CANCER_DN","CXCL16"
"ACEVEDO_LIVER_CANCER_DN","CXXC5"
"ACEVEDO_LIVER_CANCER_DN","CYGB"
"ACEVEDO_LIVER_CANCER_DN","CYP1A2"
"ACEVEDO_LIVER_CANCER_DN","CYP2C8"
"ACEVEDO_LIVER_CANCER_DN","CYP2E1"
"ACEVEDO_LIVER_CANCER_DN","CYP39A1"
"ACEVEDO_LIVER_CANCER_DN","CYP3A43"
"ACEVEDO_LIVER_CANCER_DN","CYP4A11"
"ACEVEDO_LIVER_CANCER_DN","CYP4F22"
"ACEVEDO_LIVER_CANCER_DN","DCAF8"
"ACEVEDO_LIVER_CANCER_DN","DCPS"
"ACEVEDO_LIVER_CANCER_DN","DCUN1D3"
"ACEVEDO_LIVER_CANCER_DN","DECR1"
"ACEVEDO_LIVER_CANCER_DN","DEFB1"
"ACEVEDO_LIVER_CANCER_DN","DERA"
"ACEVEDO_LIVER_CANCER_DN","DGAT1"
"ACEVEDO_LIVER_CANCER_DN","DGAT2"
"ACEVEDO_LIVER_CANCER_DN","DHRS1"
"ACEVEDO_LIVER_CANCER_DN","DHRS7"
"ACEVEDO_LIVER_CANCER_DN","DIAPH1"
"ACEVEDO_LIVER_CANCER_DN","DIS3L"
"ACEVEDO_LIVER_CANCER_DN","DMAP1"
"ACEVEDO_LIVER_CANCER_DN","DNAJA1"
"ACEVEDO_LIVER_CANCER_DN","DNMT3L"
"ACEVEDO_LIVER_CANCER_DN","DPT"
"ACEVEDO_LIVER_CANCER_DN","DPYS"
"ACEVEDO_LIVER_CANCER_DN","DUSP5"
"ACEVEDO_LIVER_CANCER_DN","DYNC1H1"
"ACEVEDO_LIVER_CANCER_DN","DYNC1LI2"
"ACEVEDO_LIVER_CANCER_DN","DYNLL2"
"ACEVEDO_LIVER_CANCER_DN","EBPL"
"ACEVEDO_LIVER_CANCER_DN","ECHS1"
"ACEVEDO_LIVER_CANCER_DN","EEF2"
"ACEVEDO_LIVER_CANCER_DN","EGR1"
"ACEVEDO_LIVER_CANCER_DN","EIF2AK1"
"ACEVEDO_LIVER_CANCER_DN","EIF5A"
"ACEVEDO_LIVER_CANCER_DN","ELP3"
"ACEVEDO_LIVER_CANCER_DN","ENDOG"
"ACEVEDO_LIVER_CANCER_DN","ENKD1"
"ACEVEDO_LIVER_CANCER_DN","ENO1"
"ACEVEDO_LIVER_CANCER_DN","ENO3"
"ACEVEDO_LIVER_CANCER_DN","ENTPD5"
"ACEVEDO_LIVER_CANCER_DN","EPHA2"
"ACEVEDO_LIVER_CANCER_DN","EPHX2"
"ACEVEDO_LIVER_CANCER_DN","ERLIN1"
"ACEVEDO_LIVER_CANCER_DN","ESPN"
"ACEVEDO_LIVER_CANCER_DN","ESR1"
"ACEVEDO_LIVER_CANCER_DN","ETS2"
"ACEVEDO_LIVER_CANCER_DN","EVL"
"ACEVEDO_LIVER_CANCER_DN","EXOSC6"
"ACEVEDO_LIVER_CANCER_DN","EZR"
"ACEVEDO_LIVER_CANCER_DN","F12"
"ACEVEDO_LIVER_CANCER_DN","F7"
"ACEVEDO_LIVER_CANCER_DN","F8A1"
"ACEVEDO_LIVER_CANCER_DN","F9"
"ACEVEDO_LIVER_CANCER_DN","FAAH"
"ACEVEDO_LIVER_CANCER_DN","FAHD2B"
"ACEVEDO_LIVER_CANCER_DN","FAM32A"
"ACEVEDO_LIVER_CANCER_DN","FASN"
"ACEVEDO_LIVER_CANCER_DN","FBP1"
"ACEVEDO_LIVER_CANCER_DN","FCN3"
"ACEVEDO_LIVER_CANCER_DN","FERMT2"
"ACEVEDO_LIVER_CANCER_DN","FGA"
"ACEVEDO_LIVER_CANCER_DN","FHIP1B"
"ACEVEDO_LIVER_CANCER_DN","FITM1"
"ACEVEDO_LIVER_CANCER_DN","FKBP4"
"ACEVEDO_LIVER_CANCER_DN","FMO3"
"ACEVEDO_LIVER_CANCER_DN","FN3KRP"
"ACEVEDO_LIVER_CANCER_DN","FOS"
"ACEVEDO_LIVER_CANCER_DN","FOSB"
"ACEVEDO_LIVER_CANCER_DN","FOXD4L4"
"ACEVEDO_LIVER_CANCER_DN","FST"
"ACEVEDO_LIVER_CANCER_DN","FTCD"
"ACEVEDO_LIVER_CANCER_DN","FUCA1"
"ACEVEDO_LIVER_CANCER_DN","FUOM"
"ACEVEDO_LIVER_CANCER_DN","FURIN"
"ACEVEDO_LIVER_CANCER_DN","GATM"
"ACEVEDO_LIVER_CANCER_DN","GCGR"
"ACEVEDO_LIVER_CANCER_DN","GHR"
"ACEVEDO_LIVER_CANCER_DN","GJB1"
"ACEVEDO_LIVER_CANCER_DN","GJB2"
"ACEVEDO_LIVER_CANCER_DN","GLRX5"
"ACEVEDO_LIVER_CANCER_DN","GLUD1"
"ACEVEDO_LIVER_CANCER_DN","GNA11"
"ACEVEDO_LIVER_CANCER_DN","GNPTG"
"ACEVEDO_LIVER_CANCER_DN","GOT2"
"ACEVEDO_LIVER_CANCER_DN","GPAT3"
"ACEVEDO_LIVER_CANCER_DN","GPD1"
