"pathway","gene"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HAND2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HAUS6"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HBS1L"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HDAC2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HEBP2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HECA"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HMGCL"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HMGN2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HNRNPA1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HOXC11"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HOXC4"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","HPS4"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","IGLL1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","IL20RA"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","INTS9"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","IRF2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","ISOC1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","JOSD1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KANSL2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KCTD17"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KDELR3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KDM1A"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KIR2DL1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KITLG"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","KLHL9"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LEMD3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LEPROTL1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LMBR1L"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LRP2BP"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LSM3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","LYPLA2"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MAK16"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MAP3K5"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MBP"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MCRS1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MECR"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MFNG"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MFSD5"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MGAT3"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MICAL1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MIEF1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MMP11"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MN1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MPST"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MTAP"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MYG1"
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","MYH9"
