"pathway","gene"
"KEGG_PROSTATE_CANCER","PDGFD"
"KEGG_PROSTATE_CANCER","PDGFRA"
"KEGG_PROSTATE_CANCER","PDGFRB"
"KEGG_PROSTATE_CANCER","PDPK1"
"KEGG_PROSTATE_CANCER","PIK3CA"
"KEGG_PROSTATE_CANCER","PIK3CB"
"KEGG_PROSTATE_CANCER","PIK3CD"
"KEGG_PROSTATE_CANCER","PIK3CG"
"KEGG_PROSTATE_CANCER","PIK3R1"
"KEGG_PROSTATE_CANCER","PIK3R2"
"KEGG_PROSTATE_CANCER","PIK3R3"
"KEGG_PROSTATE_CANCER","PIK3R5"
"KEGG_PROSTATE_CANCER","PTEN"
"KEGG_PROSTATE_CANCER","RAF1"
"KEGG_PROSTATE_CANCER","RB1"
"KEGG_PROSTATE_CANCER","RELA"
"KEGG_PROSTATE_CANCER","SOS1"
"KEGG_PROSTATE_CANCER","SOS2"
"KEGG_PROSTATE_CANCER","SRD5A2"
"KEGG_PROSTATE_CANCER","TCF7"
"KEGG_PROSTATE_CANCER","TCF7L1"
"KEGG_PROSTATE_CANCER","TCF7L2"
"KEGG_PROSTATE_CANCER","TGFA"
"KEGG_PROSTATE_CANCER","TP53"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","AFG1L"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ALCAM"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ALOX15"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","BLTP1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","C12orf60"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CA12"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CADM1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CATIP"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CBY1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CCDC38"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CDH6"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","COL14A1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CR2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CRABP1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","CSMD3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","DLL4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","DNAJC22"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","EBPL"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ELMO1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","EML2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","EN2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ERBB4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ERI2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","FAM171A1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","FAM199X"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","FBN1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","FEZF2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","FGF10"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","GRIA4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","GSX2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HELT"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HNF1B"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HOXC5"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HOXD11"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HPS4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","HPSE2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","IGF2BP1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ILK"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","IREB2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","IRX1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","IRX3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","IRX4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ISCA1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ISLR2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","KCNAB1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","KDM1A"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","LEF1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","LIMCH1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","LINC00273"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","LMX1A"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","MAPT"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","MARK1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","NFATC4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","NKX2-3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","NOL4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","NPY1R"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","NRXN3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","OTOP3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","PAX2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","PTPA"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RARB"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RASGRP1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RAX"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","REXO5"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RGMA"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RHBG"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","RNASE11"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SAMD11"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SLC1A2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SLC29A1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SMCHD1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SNAP25"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SOX12"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","SPIN4"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ST8SIA1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","STIP1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TAF7"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TBX2"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TBX5"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TCF3"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TMX1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TOMM20L"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TRIM16"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","TRIM36"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","UQCRQ"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","USP48"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","UTP11"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","WBP11"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","WDR5"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","WDR91"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","WNT1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","WNT5A"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","XYLT1"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ZNF256"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ZNF438"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ZNF516"
"KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3","ZNF516-DT"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","A1CF"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ABCA6"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ABCA9"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ABCB5"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ACADL"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","AFP"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ALB"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ALDH8A1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","AMER2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ANXA13"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","AQP4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ARMCX4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ARPP21"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ASAH2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ASB15"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ASCL4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ASTN1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ATL1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ATOH1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ATOH7"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ATP1B4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","BLNK"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","BRINP2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","C11orf40"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","C1QTNF7"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","C4BPA"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CCDC181"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CCDC198"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CCDC60"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CD1A"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CD1D"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CD40LG"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CD86"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CDH20"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CHAT"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CHRM2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CLCA1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CLDND1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CLEC1B"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CLECL1P"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","COL14A1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CRNKL1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CSMD3"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CTLA4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","CXCR4"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","DEFB126"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","DLGAP1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","DRD3"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","DYNAP"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ELMO1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ELMOD1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","EN2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ENPP2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ENPP5"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ENTPD1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","EPB42"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","ERG"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","EYA1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","F11"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","FAM216B"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","FGF23"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","FGF9"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","FPR2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","G6PC2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","GABRA1"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","GAP43"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","GAS2"
"KONDO_PROSTATE_CANCER_WITH_H3K27ME3","GFRAL"
