"pathway","gene"
"GRADE_COLON_AND_RECTAL_CANCER_DN","UBAP1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","UGDH"
"GRADE_COLON_AND_RECTAL_CANCER_DN","UNC5B"
"GRADE_COLON_AND_RECTAL_CANCER_DN","XPNPEP3"
"GRADE_COLON_AND_RECTAL_CANCER_DN","YY1AP1"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ZBTB4"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ZNF135"
"GRADE_COLON_AND_RECTAL_CANCER_DN","ZNF787"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AAMP"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AARS1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ABCB8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ABCF1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ACBD6"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ADGRG1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AHCY"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ALG1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AMPD3"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ANXA5"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ATIC"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ATP6AP2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AURKA"
"GRADE_COLON_AND_RECTAL_CANCER_UP","AZGP1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","BACE2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","BORA"
"GRADE_COLON_AND_RECTAL_CANCER_UP","BPHL"
"GRADE_COLON_AND_RECTAL_CANCER_UP","C4BPB"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CAMSAP1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CARHSP1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCDC191"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCDC85B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCDC92"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCNB1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCT5"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCT7"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CCT8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CD44"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CD46"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDC25B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDC45"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDC6"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDCA7"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDK1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CDK7"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CEP57L1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CFB"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CHCHD2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CKS2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CNBP"
"GRADE_COLON_AND_RECTAL_CANCER_UP","COL4A1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","COPS8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CSNK1E"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CSTF1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","CTSB"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DAP3"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DCAF7"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DDIT4"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DDX1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DDX27"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DDX39A"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DDX39B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DEF8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DGAT2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DHX8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DHX9"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DNAJA3"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DNAJC2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DNTTIP1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DOLK"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DPM1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DPY19L1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DRG1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","DUSP18"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EEF1E1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EFTUD2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF2S2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF3B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF3E"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF4A1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF4B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EIF6"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EMC8"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ENG"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EPHB2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EPRS1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ERI1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ETS2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","ETV4"
"GRADE_COLON_AND_RECTAL_CANCER_UP","EXOC2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FAM210B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FBL"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FBXO11"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FDFT1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FERMT1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","FXYD5"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GARS1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GCLC"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GCSH"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GDF15"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GEMIN6"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GLO1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GPSM2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GSK3B"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GTF2F2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GTF3A"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GTPBP10"
"GRADE_COLON_AND_RECTAL_CANCER_UP","GYG2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","H2AZ1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HELLS"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HILPDA"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HJURP"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HM13"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HMGB1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HMGB2"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HNRNPA1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HNRNPA2B1"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HNRNPD"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HNRNPK"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HOXB5"
"GRADE_COLON_AND_RECTAL_CANCER_UP","HSPA4"
