"pathway","gene"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","GZF1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ING1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","IPO8"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","KBTBD11"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","KPNA4"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","KRIT1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","LSM1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MACROH2A1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MAP3K1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MAPK8"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","METTL4"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MFN1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MIPEP"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MRPL47"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MRPS11"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MRPS28"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MTMR6"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","MYNN"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NAPG"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NDUFB5"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NEK3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NIPBL"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NSD3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","NUP153"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PAK2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PAN3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PDCD6"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PEPD"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PHC3"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PIK3CA"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PNPT1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PPFIA1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PPM1A"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PPP1R12A"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PPP4R2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","PRKCI"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RAB20"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RAE1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RASA1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RB1CC1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RFC4"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","RYK"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","SDHC"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","SEC23IP"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","SENP2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","SIAH2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","SNAP29"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TAF2"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TBCA"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TERF1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","THOC1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","THUMPD1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TOMM70"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TPD52"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TRIM35"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","TXNL1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","URI1"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","VPS41"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","VPS8"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","WASHC5"
"DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER","ZNF302"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","ACVR1B"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","APC"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","BAP1"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","FYN"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","IRAK2"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","LTK"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","NF1"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","NOTCH4"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","PIK3R2"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","RB1"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","STK11"
"DING_LUNG_CANCER_MUTATED_FREQUENTLY","TP53"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","EGFR"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","FLT4"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","KRAS"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","NRAS"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","STK11"
"DING_LUNG_CANCER_MUTATED_RECURRENTLY","TP53"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","APC"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","ATM"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","CDKN2A"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","EGFR"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","EPHA3"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","EPHA5"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","ERBB4"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","FGFR4"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","GNAS"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","INHBA"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","KDR"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","KRAS"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","LRP1B"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","LTK"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","NF1"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","NRAS"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","NTRK1"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","NTRK3"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","PAK3"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","PDGFRA"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","PTPRD"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","RB1"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","SLC38A3"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","STK11"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","TP53"
"DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY","ZMYND10"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","FAM66C"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC00623"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC00862"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01150"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01312"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01585"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01638"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01711"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC01800"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC02448"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC02880"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","LINC03065"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","MIR646HG"
"DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA","SEMA6A-AS2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ACTR2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ADAMTS1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ADGRF1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","AGTR2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","AHRR"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ANK2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","APOL6"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","AQP4"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","ATP6V0D2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","AZGP1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","B3GNT5"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","BTG2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","C1S"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CAMKK2"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CCL20"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CRTC1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CTNNA1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CYP1A1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","CYTH1"
"FALVELLA_SMOKERS_WITH_LUNG_CANCER","DDX3X"
