"pathway","gene"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","CEP152"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","CEP44"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","CHML"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","CREBZF"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","CXADR"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DDX3X"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DDX59"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DIP2A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DONSON"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DR1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","DTL"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","E2F7"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","E2F8"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ELF3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ENOSF1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","EP300-AS1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ERMP1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ESR1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","ETS2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","EYA2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","EZH2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FAM199X"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FAM50A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FAM72C"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FGFR1OP2"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FMR1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","FNBP1L"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GART"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GAS2L3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GCH1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GEN1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GINS1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GOLGA8A"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GRAMD1C"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","GSPT1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HACE1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HELLS"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HLTF"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HMGB3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HNRNPA1"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HNRNPU"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HOXA10"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HOXA9"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HOXB3"
"PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP","HOXD10"
