"pathway","gene"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","CTSK"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","CUL2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","DIAPH1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","DVL2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","EGLN1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","EGLN2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","EGLN3"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","ELOB"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","ELOC"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","EP300"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","EPAS1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","FH"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","HIF1A"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","PDGFB"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","PRCC"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","RBX1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","SETD2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","SFPQ"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","SLC2A1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TFE3"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TFEB"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TGFA"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TGFB1"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TGFB2"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","TGFB3"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","VEGFA"
"WP_TYPE_2_PAPILLARY_RENAL_CELL_CARCINOMA","VHL"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","CDC73"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","FH"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","FOXE1"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","HABP2"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","LMNA"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","MET"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","MINPP1"
"HP_PAPILLARY_RENAL_CELL_CARCINOMA","PRCC"
